0.02,30,GDPWDU9XTO
0.20,93,97MH35LMIO
0.65,85,PQPWWL0O60
0.90,73,9F8B2OZ66F
0.26,95,MU1TNUQN8W
0.57,16,S3XEU39KB6
0.53,33,O4NF7THOT0
0.59,56,UWYI9R2Q12
0.37,11,ZZA7L4VOJJ
0.34,98,KZVDGBP6OF
0.71,79,J0TFDQUQQW
0.27,43,XASOZQUEX7
0.97,83,CW3815Y1H9
0.53,34,6OSV9ODT43
0.15,74,8CCPL5170R
0.90,47,H95HYTYXWL
0.59,9,LNF6X2DXXU
0.02,42,ULC9AB6Y0F
0.48,27,MORZ1BX16X
0.80,19,PU076WHJXQ
0.68,29,5YUDAL0XVP
0.98,68,QS12OUGJ26
0.72,92,Y750C2V2FE
0.21,58,XD5UCQ16CF
0.67,84,9MO3CIY44M
0.94,52,RZTQKSBNS4
0.78,36,UBYSX90HG6
0.43,62,GT7D9ZO4P9
0.40,35,4QH6UW1A96
0.29,75,I578ZCK3PS
0.09,89,U5U0ZNQZRP
0.04,45,3GA1XJBP5E
0.39,16,5CDNCREY5E
0.58,39,MGUL931PTS
0.77,45,VFQEDI91MY
0.15,78,C6V6M8BZ73
0.72,0,OTYHICXHHY
0.11,49,YB0XQ7F05J
0.92,44,VIOORXFJH2
0.83,34,ZJBXI63AHD
0.21,20,NOFZCL1O8M
0.07,42,EPOUNPECTZ
0.49,36,VUY92C82WQ
0.80,88,3I3M0Q7LCC
0.60,57,DY4ID8IN2U
0.66,25,HW2FB78UCX
0.56,59,DR1FP8NHW9
0.89,89,O2X6VE61VG
0.18,48,PP0Y8A8M0I
0.58,45,L3X5EDU9VH
0.73,33,I6CJKSZ162
0.89,90,3297Y5XLEO
0.72,59,IU7QBXFXEG
0.12,96,IJ2N4QQN28
0.13,70,S8JGG4T2UF
0.75,50,GW5ZU7UYLA
0.99,16,LPEP4C99ZV
0.78,28,S2NVXMMWIM
0.01,22,S499Y122BA
0.19,59,3HGGAYI3WZ
0.95,63,2GCKYX87Q9
0.27,44,9BUY5VJGKA
0.87,4,TVMHA3NZ0C
0.03,7,HQ8BIOEUOD
0.49,56,G2W4YSDZEE
